date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,stochrsi_K,stochrsi_D,signal
2024-08-09 11:44:00,60071.12,60071.13,60042.89,60047.29,0.01857,38.35988564951831,-88.36963422457484,-63.41193927375586,-24.957694950818976,22.302200037417013,24.68690667777709,0
2024-08-09 11:45:00,60040.72,60081.24,60040.72,60060.96,0.00228,39.49036258650543,-87.42852438671252,-68.2152562963472,-19.213268090365318,24.913999928384243,24.49545776825326,0
2024-08-09 11:46:00,60028.8,60139.38,60004.42,60122.76,0.09123,44.45038845104875,-80.76493662899156,-70.72519236287607,-10.039744266115491,39.703758813849646,28.97331959321697,0
2024-08-09 11:47:00,60110.72,60121.7,60062.51,60064.91,0.01922,41.05763073687322,-79.23859366634133,-72.42787262356913,-6.810721042772201,43.79779864648907,36.13851912957432,0
2024-08-09 11:48:00,60062.41,60101.33,60046.83,60046.83,0.03956,40.02929489647728,-78.5820162036689,-73.65870133958909,-4.9233148640798134,53.953283852695755,45.81828043767816,0
2024-08-09 11:49:00,60048.73,60049.89,60017.38,60017.38,0.01177,38.34461636541619,-79.52136985881225,-74.83123504343372,-4.690134815378528,52.05442947707283,49.935170658752554,Close Trade
2024-08-09 11:50:00,60019.56,60019.56,59919.48,59947.64,0.05623,34.62799920837443,-84.91440910589881,-76.84786985592675,-8.066539249972067,45.31696258294919,50.44155863757259,0
2024-08-09 11:51:00,59955.91,60004.66,59946.26,60003.39,0.15329,39.6627347623003,-83.72474573417276,-78.22324503157596,-5.5015007025968,44.33193282887872,47.23444162963358,0
2024-08-09 11:52:00,59984.19,60022.4,59979.49,59997.23,0.03378,39.30254933932025,-82.32994114682515,-79.04458425462579,-3.28535689219936,43.90928365170411,44.519393021177336,0
2024-08-09 11:53:00,60010.36,60050.21,59985.99,60010.47,0.06489,40.552150956765196,-79.24273024623108,-79.08421345294684,-0.1585167932842353,57.55944400541014,48.60022016199766,Open Trade
2024-08-09 11:54:00,60027.3,60067.86,60027.3,60066.76,0.11423,45.673030438397824,-71.43055383982573,-77.55348153032261,6.12292769049688,70.42494926879898,57.29789230863775,0
